Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power_bhp,Max Power_rpm,Max Torque_Nm,Max Torque_rpm,Owner,Petrol,Manual,AWD,FWD,RWD
450000,2014,75000,1248,3995,1695,1555,5,42,74,4000,190,2000,2,0,1,0,1,0
220000,2011,67000,1197,3585,1595,1550,5,35,79,6000,112,4000,1,1,1,0,1,0
799000,2019,37500,1197,3995,1745,1510,5,37,82,6000,113,4200,1,1,1,0,1,0
675000,2017,73315,1373,4490,1730,1485,5,43,91,6000,130,4000,1,1,1,0,1,0
1390000,2017,56000,1798,4670,1814,1476,5,50,177,5100,250,1250,1,1,0,0,1,0
575000,2015,85000,1461,4331,1822,1671,5,50,84,3750,200,1900,1,0,1,0,1,0
591000,2017,20281,1197,3985,1734,1505,5,45,82,6000,115,4000,1,1,1,0,1,0
459999,2018,22541,999,3679,1579,1478,5,28,67,5500,91,4250,1,1,1,0,1,0
1075000,2019,30672,1462,4490,1730,1485,5,43,103,6000,138,4400,1,1,0,0,1,0
944999,2017,41417,1197,3971,1682,1469,5,45,103,5000,175,1500,1,1,0,0,1,0
569000,2016,11471,998,3695,1600,1560,5,35,67,6000,90,3500,1,1,0,0,1,0
449000,2019,3583,796,3445,1515,1475,5,35,47,6000,69,3500,1,1,1,0,1,0
894999,2018,21365,1197,3995,1745,1510,5,37,82,6000,113,4200,1,1,0,0,1,0
699000,2020,30777,1197,3655,1620,1675,5,32,82,6000,113,4200,1,1,0,0,1,0
740000,2016,60125,1591,4270,1780,1630,5,60,122,6400,154,4850,1,1,1,0,1,0
470000,2020,2169,998,3565,1520,1564,5,27,67,5500,90,3500,1,1,0,0,1,0
765000,2015,60240,1197,4384,1699,1466,5,55,103,5000,153,3800,1,1,0,0,1,0
589000,2018,13772,1086,3610,1645,1560,5,35,68,5500,99,4500,1,1,0,0,1,0
999000,2019,27464,998,3995,1770,1605,5,45,118,6000,172,1500,1,1,1,0,1,0
325000,2013,23086,1197,3775,1680,1620,5,43,85,6000,113,4500,1,1,1,0,1,0
1175000,2019,36313,1591,4270,1780,1630,5,60,122,6400,154,4850,1,1,1,0,1,0
351000,2014,39276,1198,3610,1680,1500,5,35,87,6000,109,4500,1,1,1,0,1,0
551000,2015,47752,1197,3985,1734,1505,5,45,82,6000,115,4000,1,1,1,0,1,0
819999,2018,27963,1199,3999,1734,1601,5,40,89,6000,110,4800,1,1,1,0,1,0
990000,2020,24013,998,3995,1770,1605,5,45,118,6000,172,1500,1,1,1,0,1,0
925000,2016,66000,1582,4270,1780,1630,5,60,126,4000,265,1900,1,0,0,0,1,0
535000,2015,28000,999,3999,1765,1708,5,52,124,6000,170,1400,1,1,1,0,1,0
409000,2018,27069,1199,3746,1647,1535,5,35,84,6000,114,3500,1,1,1,0,1,0
490000,2018,43000,1047,3992,1677,1537,5,35,69,4000,140,1800,1,0,1,0,1,0
1125000,2018,60000,1582,4270,1780,1665,5,55,126,4000,260,1500,1,0,1,0,1,0
1095000,2016,45000,1798,4620,1775,1475,5,55,138,6400,173,4000,1,1,0,0,1,0
525000,2015,68397,1197,3985,1734,1505,5,45,82,6000,115,4000,1,1,1,0,1,0
625000,2015,65000,2498,3920,1726,1930,6,60,105,3800,247,1800,2,0,1,1,0,0
605000,2019,27469,1197,3995,1745,1500,5,37,83,6000,115,4000,1,1,1,0,1,0
412000,2016,41058,998,3600,1600,1560,5,35,67,6000,90,3500,1,1,0,0,1,0
625000,2016,51330,1248,4490,1730,1485,5,43,89,4000,200,1750,1,0,1,0,1,0
511000,2015,45969,1373,4490,1730,1485,5,43,91,6000,130,4000,1,1,1,0,1,0
1150000,2017,66602,1582,4270,1780,1630,5,60,126,4000,265,1900,1,0,0,0,1,0
885000,2016,57983,1591,4270,1780,1630,5,60,122,6400,154,4850,1,1,1,0,1,0
470000,2019,11183,999,3679,1579,1478,5,28,67,5500,91,4250,1,1,0,0,1,0
475000,2017,34867,1199,3746,1647,1535,5,35,84,6000,114,3500,2,1,0,0,1,0
865000,2015,43634,2494,4585,1765,1760,7,55,101,3600,200,1200,1,0,1,0,0,1
400000,2014,78000,2179,4430,1817,1975,8,60,120,4000,290,1800,2,0,1,0,0,1
440000,2016,50374,1198,3610,1680,1500,5,35,87,6000,109,4500,1,1,1,0,1,0
645000,2017,64000,1497,4440,1695,1495,5,40,117,6600,145,4600,1,1,1,0,1,0
365000,2013,78000,1199,3970,1682,1453,5,45,74,4200,180,2000,1,0,1,0,1,0
